Date,Humidity,Temperature
2018-08-07 04:30:31,59,32
2018-08-07 04:30:38,59,32
2018-08-07 04:30:45,59,32
2018-08-07 04:30:52,60,33
2018-08-07 04:30:59,60,33
2018-08-07 04:31:06,59,32
2018-08-07 04:31:13,60,33
2018-08-07 04:31:20,60,33
2018-08-07 04:31:27,60,33
2018-08-07 04:31:34,60,33
2018-08-07 04:31:41,60,33
2018-08-07 04:31:48,60,33
2018-08-07 04:31:55,60,33
2018-08-07 04:32:01,60,33
2018-08-07 04:32:08,60,33
2018-08-07 04:32:15,58,32
2018-08-07 04:32:22,59,33
2018-08-07 04:32:29,59,33
2018-08-07 04:32:36,59,33
2018-08-07 04:32:43,59,33
2018-08-07 04:32:50,59,33
2018-08-07 04:32:57,59,33
2018-08-07 04:33:04,59,33
2018-08-07 04:33:11,59,33
2018-08-07 04:33:18,59,33
2018-08-07 04:33:25,59,33
2018-08-07 04:33:32,59,33
2018-08-07 04:33:39,59,33
2018-08-07 04:33:46,59,33
2018-08-07 04:33:53,59,33
2018-08-07 04:34:00,59,33
2018-08-07 04:34:07,59,33
2018-08-07 04:34:14,59,33
2018-08-07 04:34:21,59,33
2018-08-07 04:34:28,59,33
2018-08-07 04:34:35,59,33
2018-08-07 04:34:42,59,33
2018-08-07 04:34:49,58,33
2018-08-07 04:34:56,58,33
2018-08-07 04:35:03,58,33
2018-08-07 04:35:10,58,33
2018-08-07 04:35:17,58,33
2018-08-07 04:35:24,58,33
2018-08-07 04:35:31,58,33
2018-08-07 04:35:38,58,33
2018-08-07 04:35:45,58,33
2018-08-07 04:35:52,58,33
2018-08-07 04:35:59,58,33
2018-08-07 04:36:06,58,33
2018-08-07 04:36:13,58,33
2018-08-07 04:36:20,58,33
2018-08-07 04:36:27,58,33
2018-08-07 04:36:34,58,33
2018-08-07 04:36:41,58,33
2018-08-07 04:36:48,58,33
2018-08-07 04:36:55,58,33
2018-08-07 04:37:02,58,33
2018-08-07 04:37:09,58,33
2018-08-07 04:37:16,58,33
2018-08-07 04:37:23,58,33
2018-08-07 04:37:30,58,33
2018-08-07 04:37:37,58,33
2018-08-07 04:37:44,58,34
2018-08-07 04:37:51,58,34
2018-08-07 04:37:58,58,33
2018-08-07 04:38:05,57,33
2018-08-07 04:38:12,57,34
2018-08-07 04:38:19,57,33
2018-08-07 04:38:26,57,34
2018-08-07 04:38:33,57,34
2018-08-07 04:38:40,57,33
2018-08-07 04:38:47,57,34
2018-08-07 04:38:54,57,33
2018-08-07 04:39:01,57,34
2018-08-07 04:39:08,57,33
2018-08-07 04:39:15,57,33
2018-08-07 04:39:22,57,34
2018-08-07 04:39:29,57,33
2018-08-07 04:39:36,57,33
2018-08-07 04:39:43,57,34
2018-08-07 04:39:50,57,34
2018-08-07 04:39:57,57,33
2018-08-07 04:40:04,57,34
2018-08-07 04:40:11,57,33
2018-08-07 04:40:18,57,33
2018-08-07 04:40:25,57,34
2018-08-07 04:40:32,57,34
2018-08-07 04:40:39,57,34
2018-08-07 04:40:46,57,34
2018-08-07 04:40:53,57,33
2018-08-07 04:41:00,57,34
2018-08-07 04:41:07,57,33
2018-08-07 04:41:14,57,34
2018-08-07 04:41:21,57,34
2018-08-07 04:41:28,57,34
2018-08-07 04:41:35,57,34
2018-08-07 04:41:42,57,33
2018-08-07 04:41:49,57,34
2018-08-07 04:41:56,57,34
2018-08-07 04:42:03,57,34
